Bifidobacterium,Butyricimonas,Odoribacter,Paraprevotella,Bacteroides,Parabacteroides,Prevotella,unkwon1,unkwon2,unkwon3,Clostridium,unkwon4,unkwon5,Ruminococcus,Anaerostipes,Blautia,Coprococcus,Dorea,Lachnospira,Roseburia,unkwon6,unkwon7,unkwon8,unkwon9,Faecalibacterium,Oscillospira,Ruminococcus.1,Dialister,unkwon10,unkwon11,unkwon12,Sutterella,Escherichia,Klebsiella,Haemophilus,Akkermansia,Tags
12.42403648,4.520682338,2.865695783,14.64622261,2.375719009,9.925184961,11.6807624,2.066871845,0.019328224,2.115477217,2.476695351,0.022332495,5.514250396,0.013407918,2.259386629,0.013039514,7.8925755,1.868890741,12.15052621,0.004364823,0.006453434,2.233786666,2.712718048,2.705947362,1.690234766,2.115477217,2.014132124,2.509654215,7.441231487,3.689491019,2.850235379,2.812312642,3.25412183,2.551451204,9.347648558,6.246326749,1
12.42403648,0.015750274,2.865695783,14.23120387,3.094556914,11.18735352,12.88214785,3.165820437,3.85673177,2.115477217,2.476695351,0.022332495,7.078013897,4.298215613,2.259386629,3.333319409,9.374094142,1.868890741,2.471305719,2.819686957,3.317072249,3.598247068,12.43997513,2.705947362,5.104604287,2.115477217,3.717813536,2.509654215,7.028958403,5.197910471,2.850235379,12.55676861,0.012269558,3.422834885,9.669133709,7.351534633,1
2.69921968,0.015750274,4.063691269,13.64627888,2.52321149,10.41018776,11.98324203,3.165820437,0.019328224,2.115477217,2.476695351,0.022332495,6.238534007,0.013407918,12.88736487,3.333319409,8.154597689,2.93192713,12.15052621,2.010796283,2.455017889,3.071649216,12.43997513,12.43198379,4.395325339,2.115477217,2.014132124,2.509654215,5.465922575,3.689491019,2.850235379,2.812312642,3.25412183,3.309481882,7.354276447,4.698880021,1
2.69921968,3.582202982,2.865695783,2.889523464,3.185955111,11.60223634,12.63164063,3.782313073,0.019328224,2.115477217,2.476695351,0.022332495,7.078013897,0.013407918,2.259386629,3.333319409,8.154597689,2.93192713,13.15036754,2.010796283,2.455017889,2.712706727,12.43997513,2.705947362,5.104604287,2.115477217,3.338870107,2.509654215,7.761498387,5.769711459,2.850235379,13.55664888,3.25412183,2.903613338,11.15342091,6.824940667,1
2.69921968,0.015750274,2.051175975,13.64627888,2.025959227,10.60270031,12.05917261,2.066871845,3.85673177,2.115477217,2.476695351,0.022332495,5.92137473,4.298215613,2.259386629,3.333319409,6.579725542,2.656503865,2.471305719,2.010796283,2.455017889,0.002669162,2.712718048,2.705947362,3.308647528,2.115477217,0.004378241,2.509654215,7.028958403,4.236689565,2.850235379,2.812312642,4.176462668,1.778678875,10.66824741,6.656605433,1
2.69921968,3.582202982,2.865695783,14.23120387,3.185955111,10.92444283,12.79600297,3.165820437,3.85673177,2.115477217,2.476695351,4.053123267,6.909422999,3.369742988,11.88755527,3.333319409,8.568368917,0.001912118,2.471305719,2.819686957,2.455017889,3.358842608,2.712718048,2.705947362,5.104604287,2.115477217,3.717813536,2.509654215,7.761498387,4.942715722,2.850235379,14.14157147,0.012269558,4.104961868,10.51634282,7.457818721,1
2.69921968,3.582202982,0.004529346,14.96813946,2.996974424,9.603627786,12.2000037,1.375671246,3.85673177,2.115477217,12.15709743,0.022332495,5.92137473,3.369742988,2.259386629,0.013039514,8.737871581,2.93192713,2.471305719,4.013482777,2.455017889,2.712706727,2.712718048,2.705947362,3.84424029,2.115477217,2.823494667,2.509654215,7.028958403,4.236689565,2.850235379,13.55664888,0.012269558,3.422834885,9.347648558,6.824940667,1
12.42403648,0.015750274,2.051175975,12.64639139,2.295903578,8.605480957,12.0217068,2.532231784,0.019328224,2.115477217,2.476695351,0.022332495,7.22894882,0.013407918,2.259386629,0.013039514,6.579725542,1.868890741,12.15052621,2.010796283,0.006453434,2.233786666,2.712718048,12.43198379,3.84424029,2.115477217,0.004378241,2.509654215,0.061013576,3.689491019,2.850235379,12.55676861,0.012269558,3.527926841,9.931872743,6.46600177,1
2.69921968,0.015750274,3.383124976,12.64639139,2.295903578,10.18797203,11.72805394,2.883531794,0.019328224,2.115477217,2.476695351,0.022332495,5.514250396,3.369742988,2.259386629,0.013039514,7.572164401,2.315790692,2.471305719,0.004364823,0.006453434,2.233786666,2.712718048,2.705947362,4.793121048,2.115477217,2.823494667,2.509654215,6.449508892,2.797191034,2.850235379,2.812312642,0.012269558,2.08457153,9.669133709,5.670835046,1
2.69921968,3.582202982,2.865695783,14.64622261,2.945590964,10.41018776,12.47412559,2.532231784,0.019328224,2.115477217,2.476695351,4.053123267,5.514250396,4.298215613,2.259386629,3.333319409,8.376266663,3.537304207,2.471305719,2.010796283,3.317072249,2.233786666,2.712718048,2.705947362,3.84424029,2.115477217,3.338870107,2.509654215,0.061013576,5.197910471,2.850235379,2.812312642,0.012269558,3.186457408,9.931872743,7.736477742,1
2.69921968,0.015750274,3.383124976,14.23120387,2.375719009,10.18797203,11.98324203,1.375671246,0.019328224,2.115477217,2.476695351,4.053123267,6.238534007,3.369742988,2.259386629,3.333319409,7.8925755,3.537304207,13.15036754,2.010796283,0.006453434,2.712706727,2.712718048,2.705947362,4.233944571,2.115477217,0.004378241,2.509654215,7.028958403,5.41467694,2.850235379,2.812312642,0.012269558,3.186457408,9.669133709,6.824940667,1
2.69921968,0.015750274,2.865695783,12.64639139,1.923451987,9.925184961,12.1313059,2.532231784,0.019328224,2.115477217,2.476695351,0.022332495,5.514250396,4.298215613,2.259386629,0.013039514,7.8925755,1.218011228,2.471305719,3.334873973,0.006453434,2.233786666,2.712718048,13.43185324,3.84424029,2.115477217,3.338870107,12.19716621,7.441231487,4.236689565,2.850235379,12.55676861,0.012269558,2.738251054,9.347648558,6.46600177,1
2.69921968,3.582202982,4.063691269,15.23116636,3.46674012,10.18797203,12.77363833,3.782313073,3.85673177,2.115477217,2.476695351,5.009001085,7.22894882,3.369742988,2.259386629,3.333319409,8.737871581,2.656503865,13.15036754,2.819686957,3.852957415,3.358842608,2.712718048,2.705947362,5.104604287,2.115477217,4.01764363,2.509654215,7.028958403,5.769711459,2.850235379,12.55676861,0.012269558,3.309481882,10.80567034,7.236793368,1
2.69921968,3.582202982,3.763172118,14.64622261,3.094556914,10.60270031,12.96343748,3.165820437,3.85673177,2.115477217,12.15709743,0.022332495,7.365577797,5.26107657,11.88755527,0.013039514,8.889536716,3.834163264,12.15052621,4.013482777,4.549422503,3.598247068,2.712718048,2.705947362,5.578000799,2.115477217,3.717813536,12.19716621,7.441231487,4.236689565,2.850235379,2.812312642,4.734581189,2.903613338,11.34598682,6.975670685,1
12.42403648,3.582202982,3.383124976,15.45355342,2.52321149,8.605480957,12.2972809,2.066871845,0.019328224,2.115477217,2.476695351,0.022332495,6.718491385,0.013407918,11.88755527,3.333319409,8.737871581,2.656503865,2.471305719,2.010796283,4.242815644,2.712706727,2.712718048,2.705947362,4.904589957,2.115477217,2.014132124,12.19716621,7.441231487,4.942715722,2.850235379,2.812312642,4.176462668,3.051955839,9.931872743,5.670835046,1
