"Firmicutes";"Bacteroidetes";"Actinobacteria";"Fusobacteria";"Proteobacteria";"tags"
88;52;1;13;2;"1"
69;47;0;4;1;"1"
133;85;1;17;4;"1"
157;108;2;21;11;"1"
102;78;1;10;5;"1"
61;34;0;5;2;"1"
121;80;2;15;4;"1"
121;90;3;11;6;"1"
157;110;1;24;5;"1"
80;62;1;13;4;"1"
99;76;1;25;4;"1"
83;52;3;5;5;"1"
143;89;0;14;10;"1"
156;97;2;24;5;"1"
62;46;0;9;5;"1"
44;53;0;6;2;"1"
144;108;3;20;10;"1"
73;38;1;6;2;"1"
75;63;0;7;5;"1"
65;39;1;5;1;"1"
150;110;1;23;4;"1"
149;118;3;16;1;"1"
135;127;3;19;7;"1"
149;120;0;14;3;"1"
66;40;1;12;1;"1"
138;82;0;10;4;"1"
53;41;2;8;3;"1"
84;76;0;8;6;"1"
124;103;2;12;3;"1"
137;91;0;14;2;"1"
71;41;1;3;2;"1"
142;114;0;21;2;"1"
150;105;0;22;6;"1"
70;56;0;12;3;"1"
161;97;1;15;9;"1"
110;85;1;10;2;"1"
59;39;2;4;3;"1"
155;85;4;23;3;"1"
79;46;0;15;4;"1"
150;90;3;16;5;"1"
108;62;0;14;1;"1"
138;105;0;13;8;"1"
133;85;1;17;6;"1"
111;75;1;11;4;"1"
84;58;2;9;5;"1"
86;48;2;8;4;"1"
56;43;2;6;3;"1"
125;86;1;10;2;"1"
114;77;3;13;5;"1"
144;67;1;19;5;"1"
158;114;4;12;5;"1"
56;42;0;5;1;"1"
161;90;3;22;9;"1"
103;85;1;14;7;"1"
139;88;0;13;8;"1"
85;64;2;9;4;"1"
113;89;1;13;7;"1"
138;113;2;26;7;"1"
117;96;0;19;2;"1"
145;68;0;14;5;"1"
98;78;1;9;1;"1"
145;96;2;19;10;"1"
84;48;0;3;5;"1"
139;111;1;21;6;"1"
75;38;0;18;3;"1"
100;80;3;14;5;"1"
126;88;1;21;9;"1"
75;51;0;12;2;"1"
52;41;0;7;1;"1"
132;92;2;14;2;"1"
95;63;0;14;4;"1"
155;114;0;19;9;"1"
81;55;0;9;4;"1"
121;80;1;20;6;"1"
100;77;1;19;4;"1"
50;50;0;11;2;"1"
155;91;0;20;5;"1"
141;94;0;17;9;"1"
95;67;1;10;5;"1"
55;50;1;6;2;"1"
99;64;0;9;5;"1"
120;77;0;17;6;"1"
112;78;2;14;5;"1"
146;89;0;18;7;"1"
107;85;2;14;3;"1"
97;75;0;17;2;"1"
151;106;2;16;9;"1"
85;70;0;7;4;"1"
148;84;0;17;1;"1"
108;83;3;13;6;"1"
116;96;0;23;9;"1"
83;53;0;6;2;"1"
99;61;3;13;10;"1"
138;100;0;10;6;"1"
66;40;0;9;2;"1"
94;60;1;10;4;"1"
122;85;0;10;7;"1"
63;48;0;8;2;"1"
116;65;2;15;5;"1"
72;50;1;12;5;"1"
163;96;1;23;7;"1"
83;49;1;8;3;"1"
145;97;0;21;6;"1"
125;82;0;13;4;"1"
124;88;1;9;5;"1"
86;76;1;11;2;"1"
110;81;4;10;5;"1"
156;106;1;13;3;"1"
155;105;1;19;15;"1"
91;69;0;13;13;"1"
71;47;0;10;1;"1"
61;45;1;10;4;"1"
120;82;1;9;4;"1"
57;54;1;6;2;"1"
96;44;0;9;5;"1"
66;42;1;8;2;"1"
73;43;0;9;1;"1"
79;58;1;13;4;"1"
139;105;1;10;6;"1"
65;61;0;10;1;"1"
57;37;1;10;6;"1"
150;109;1;18;2;"1"
78;52;1;9;3;"1"
57;45;2;9;5;"1"
164;95;0;16;5;"1"
125;98;0;14;5;"1"
124;79;0;19;8;"1"
100;63;0;6;1;"1"
127;108;2;10;6;"1"
53;39;0;8;5;"1"
77;48;2;13;3;"1"
105;58;0;11;6;"1"
128;97;1;15;7;"1"
78;55;0;12;9;"1"
125;85;2;10;10;"1"
