Bifidobacterium,Butyricimonas,Odoribacter,Paraprevotella,Bacteroides,Parabacteroides,Prevotella,unkwon1,unkwon2,unkwon3,Clostridium,unkwon4,unkwon5,Ruminococcus,Anaerostipes,Blautia,Coprococcus,Dorea,Lachnospira,Roseburia,unkwon6,unkwon7,unkwon8,unkwon9,Faecalibacterium,Oscillospira,Ruminococcus.1,Dialister,unkwon10,unkwon11,unkwon12,Sutterella,Escherichia,Klebsiella,Haemophilus,Akkermansia,Tags
-9.177419538,-8.177419538,-8.177419538,-7.177419538,-5.270528942,-6.855491443,-4.270528942,-8.177419538,#NAME?,-7.177419538,#NAME?,#NAME?,-7.592457037,#NAME?,#NAME?,#NAME?,-6.855491443,-8.177419538,-9.177419538,#NAME?,#NAME?,-8.177419538,#NAME?,#NAME?,-9.177419538,#NAME?,-9.177419538,#NAME?,-7.177419538,-8.177419538,#NAME?,#NAME?,-9.177419538,-6.592457037,-7.177419538,-6.592457037,1
-9.177419538,#NAME?,-8.177419538,-7.592457037,-4.422532036,-5.592457037,-3.068895081,-6.855491443,-9.177419538,-7.177419538,#NAME?,#NAME?,-6.007494537,-8.177419538,#NAME?,-9.177419538,-5.370064616,-8.177419538,#NAME?,-8.177419538,-8.177419538,-6.592457037,-9.177419538,#NAME?,-5.270528942,#NAME?,-7.177419538,#NAME?,-7.592457037,-6.592457037,#NAME?,-9.177419538,#NAME?,-5.592457037,-6.855491443,-5.47697982,1
#NAME?,#NAME?,-6.855491443,-8.177419538,-5.089956697,-6.370064616,-3.967966172,-6.855491443,#NAME?,-7.177419538,#NAME?,#NAME?,-6.855491443,#NAME?,-8.177419538,-9.177419538,-6.592457037,-6.855491443,-9.177419538,-9.177419538,-9.177419538,-7.177419538,-9.177419538,-9.177419538,-6.007494537,#NAME?,-9.177419538,#NAME?,-9.177419538,-8.177419538,#NAME?,#NAME?,-9.177419538,-5.717987919,-9.177419538,-8.177419538,1
#NAME?,-9.177419538,-8.177419538,#NAME?,-4.319438543,-5.177419538,-3.319438543,-6.177419538,#NAME?,-7.177419538,#NAME?,#NAME?,-6.007494537,#NAME?,#NAME?,-9.177419538,-6.592457037,-6.855491443,-8.177419538,-9.177419538,-9.177419538,-7.592457037,-9.177419538,#NAME?,-5.270528942,#NAME?,-7.592457037,#NAME?,-6.855491443,-6.007494537,#NAME?,-8.177419538,-9.177419538,-6.177419538,-5.370064616,-6.007494537,1
#NAME?,#NAME?,-9.177419538,-8.177419538,-5.717987919,-6.177419538,-3.892017319,-8.177419538,-9.177419538,-7.177419538,#NAME?,#NAME?,-7.177419538,-8.177419538,#NAME?,-9.177419538,-8.177419538,-7.177419538,#NAME?,-9.177419538,-9.177419538,#NAME?,#NAME?,#NAME?,-7.177419538,#NAME?,#NAME?,#NAME?,-7.592457037,-7.592457037,#NAME?,#NAME?,-8.177419538,-7.592457037,-5.855491443,-6.177419538,1
#NAME?,-9.177419538,-8.177419538,-7.592457037,-4.319438543,-5.855491443,-3.155051725,-6.855491443,-9.177419538,-7.177419538,#NAME?,-9.177419538,-6.177419538,-9.177419538,-9.177419538,-9.177419538,-6.177419538,#NAME?,#NAME?,-8.177419538,-9.177419538,-6.855491443,#NAME?,#NAME?,-5.270528942,#NAME?,-7.177419538,#NAME?,-6.855491443,-6.855491443,#NAME?,-7.592457037,#NAME?,-4.855491443,-6.007494537,-5.370064616,1
#NAME?,-9.177419538,#NAME?,-6.855491443,-4.533563348,-7.177419538,-3.751154783,-9.177419538,-9.177419538,-7.177419538,-9.177419538,#NAME?,-7.177419538,-9.177419538,#NAME?,#NAME?,-6.007494537,-6.855491443,#NAME?,-6.855491443,-9.177419538,-7.592457037,#NAME?,#NAME?,-6.592457037,#NAME?,-8.177419538,#NAME?,-7.592457037,-7.592457037,#NAME?,-8.177419538,#NAME?,-5.592457037,-7.177419538,-6.007494537,1
-9.177419538,#NAME?,-9.177419538,-9.177419538,-5.370064616,-8.177419538,-3.929492025,-7.592457037,#NAME?,-7.177419538,#NAME?,#NAME?,-5.855491443,#NAME?,#NAME?,#NAME?,-8.177419538,-8.177419538,-9.177419538,-9.177419538,#NAME?,-8.177419538,#NAME?,-9.177419538,-6.592457037,#NAME?,#NAME?,#NAME?,#NAME?,-8.177419538,#NAME?,-9.177419538,#NAME?,-5.47697982,-6.592457037,-6.370064616,1
#NAME?,#NAME?,-7.592457037,-9.177419538,-5.370064616,-6.592457037,-4.223223228,-7.177419538,#NAME?,-7.177419538,#NAME?,#NAME?,-7.592457037,-9.177419538,#NAME?,#NAME?,-7.177419538,-7.592457037,#NAME?,#NAME?,#NAME?,-8.177419538,#NAME?,#NAME?,-5.592457037,#NAME?,-8.177419538,#NAME?,-8.177419538,-9.177419538,#NAME?,#NAME?,#NAME?,-7.177419538,-6.855491443,-7.177419538,1
#NAME?,-9.177419538,-8.177419538,-7.177419538,-4.592457037,-6.370064616,-3.47697982,-7.592457037,#NAME?,-7.177419538,#NAME?,-9.177419538,-7.592457037,-8.177419538,#NAME?,-9.177419538,-6.370064616,-6.177419538,#NAME?,-9.177419538,-8.177419538,-8.177419538,#NAME?,#NAME?,-6.592457037,#NAME?,-7.592457037,#NAME?,#NAME?,-6.592457037,#NAME?,#NAME?,#NAME?,-5.855491443,-6.592457037,-5.089956697,1
#NAME?,#NAME?,-7.592457037,-7.592457037,-5.270528942,-6.592457037,-3.967966172,-9.177419538,#NAME?,-7.177419538,#NAME?,-9.177419538,-6.855491443,-9.177419538,#NAME?,-9.177419538,-6.855491443,-6.177419538,-8.177419538,-9.177419538,#NAME?,-7.592457037,#NAME?,#NAME?,-6.177419538,#NAME?,#NAME?,#NAME?,-7.592457037,-6.370064616,#NAME?,#NAME?,#NAME?,-5.855491443,-6.855491443,-6.007494537,1
#NAME?,#NAME?,-8.177419538,-9.177419538,-5.855491443,-6.855491443,-3.819867533,-7.592457037,#NAME?,-7.177419538,#NAME?,#NAME?,-7.592457037,-8.177419538,#NAME?,#NAME?,-6.855491443,-9.177419538,#NAME?,-7.592457037,#NAME?,-8.177419538,#NAME?,-8.177419538,-6.592457037,#NAME?,-7.592457037,-9.177419538,-7.177419538,-7.592457037,#NAME?,-9.177419538,#NAME?,-6.370064616,-7.177419538,-6.370064616,1
