Bifidobacterium,Butyricimonas,Odoribacter,Paraprevotella,Bacteroides,Parabacteroides,Prevotella,unkwon1,unkwon2,unkwon3,Clostridium,unkwon4,unkwon5,Ruminococcus,Anaerostipes,Blautia,Coprococcus,Dorea,Lachnospira,Roseburia,unkwon6,unkwon7,unkwon8,unkwon9,Faecalibacterium,Oscillospira,Ruminococcus.1,Dialister,unkwon10,unkwon11,unkwon12,Sutterella,Escherichia,Klebsiella,Haemophilus,Akkermansia,Tags
1.68E-05,3.35E-05,3.35E-05,6.71E-05,0.000251543,8.38E-05,0.000503086,3.35E-05,0,6.71E-05,0,0,5.03E-05,0,0,0,8.38E-05,3.35E-05,1.68E-05,0,0,3.35E-05,0,0,1.68E-05,0,1.68E-05,0,6.71E-05,3.35E-05,0,0,1.68E-05,0.000100617,6.71E-05,0.000100617,1.00E+00
1.68E-05,0,3.35E-05,5.03E-05,0.000452777,0.000201234,0.001157097,8.38E-05,1.68E-05,6.71E-05,0,0,0.000150926,3.35E-05,0,1.68E-05,0.000234773,3.35E-05,0,3.35E-05,3.35E-05,0.000100617,1.68E-05,0,0.000251543,0,6.71E-05,0,5.03E-05,0.000100617,0,1.68E-05,0,0.000201234,8.38E-05,0.000218004,1.00E+00
0,0,8.38E-05,3.35E-05,0.000285082,0.000117387,0.000620472,8.38E-05,0,6.71E-05,0,0,8.38E-05,0,3.35E-05,1.68E-05,0.000100617,8.38E-05,1.68E-05,1.68E-05,1.68E-05,6.71E-05,1.68E-05,1.68E-05,0.000150926,0,1.68E-05,0,1.68E-05,3.35E-05,0,0,1.68E-05,0.000184465,1.68E-05,3.35E-05,1.00E+00
0,1.68E-05,3.35E-05,0,0.000486316,0.000268312,0.000972632,0.000134156,0,6.71E-05,0,0,0.000150926,0,0,1.68E-05,0.000100617,8.38E-05,3.35E-05,1.68E-05,1.68E-05,5.03E-05,1.68E-05,0,0.000251543,0,5.03E-05,0,8.38E-05,0.000150926,0,3.35E-05,1.68E-05,0.000134156,0.000234773,0.000150926,1.00E+00
0,0,1.68E-05,3.35E-05,0.000184465,0.000134156,0.000654011,3.35E-05,1.68E-05,6.71E-05,0,0,6.71E-05,3.35E-05,0,1.68E-05,3.35E-05,6.71E-05,0,1.68E-05,1.68E-05,0,0,0,6.71E-05,0,0,0,5.03E-05,5.03E-05,0,0,3.35E-05,5.03E-05,0.000167695,0.000134156,1.00E+00
0,1.68E-05,3.35E-05,5.03E-05,0.000486316,0.000167695,0.001090019,8.38E-05,1.68E-05,6.71E-05,0,1.68E-05,0.000134156,1.68E-05,1.68E-05,1.68E-05,0.000134156,0,0,3.35E-05,1.68E-05,8.38E-05,0,0,0.000251543,0,6.71E-05,0,8.38E-05,8.38E-05,0,5.03E-05,0,0.00033539,0.000150926,0.000234773,1.00E+00
0,1.68E-05,0,8.38E-05,0.000419238,6.71E-05,0.000721089,1.68E-05,1.68E-05,6.71E-05,1.68E-05,0,6.71E-05,1.68E-05,0,0,0.000150926,8.38E-05,0,8.38E-05,1.68E-05,5.03E-05,0,0,0.000100617,0,3.35E-05,0,5.03E-05,5.03E-05,0,3.35E-05,0,0.000201234,6.71E-05,0.000150926,1.00E+00
1.68E-05,0,1.68E-05,1.68E-05,0.000234773,3.35E-05,0.000637242,5.03E-05,0,6.71E-05,0,0,0.000167695,0,0,0,3.35E-05,3.35E-05,1.68E-05,1.68E-05,0,3.35E-05,0,1.68E-05,0.000100617,0,0,0,0,3.35E-05,0,1.68E-05,0,0.000218004,0.000100617,0.000117387,1.00E+00
0,0,5.03E-05,1.68E-05,0.000234773,0.000100617,0.000519855,6.71E-05,0,6.71E-05,0,0,5.03E-05,1.68E-05,0,0,6.71E-05,5.03E-05,0,0,0,3.35E-05,0,0,0.000201234,0,3.35E-05,0,3.35E-05,1.68E-05,0,0,0,6.71E-05,8.38E-05,6.71E-05,1.00E+00
0,1.68E-05,3.35E-05,6.71E-05,0.000402468,0.000117387,0.000872015,5.03E-05,0,6.71E-05,0,1.68E-05,5.03E-05,3.35E-05,0,1.68E-05,0.000117387,0.000134156,0,1.68E-05,3.35E-05,3.35E-05,0,0,0.000100617,0,5.03E-05,0,0,0.000100617,0,0,0,0.000167695,0.000100617,0.000285082,1.00E+00
0,0,5.03E-05,5.03E-05,0.000251543,0.000100617,0.000620472,1.68E-05,0,6.71E-05,0,1.68E-05,8.38E-05,1.68E-05,0,1.68E-05,8.38E-05,0.000134156,3.35E-05,1.68E-05,0,5.03E-05,0,0,0.000134156,0,0,0,5.03E-05,0.000117387,0,0,0,0.000167695,8.38E-05,0.000150926,1.00E+00
0,0,3.35E-05,1.68E-05,0.000167695,8.38E-05,0.00068755,5.03E-05,0,6.71E-05,0,0,5.03E-05,3.35E-05,0,0,8.38E-05,1.68E-05,0,5.03E-05,0,3.35E-05,0,3.35E-05,0.000100617,0,5.03E-05,1.68E-05,6.71E-05,5.03E-05,0,1.68E-05,0,0.000117387,6.71E-05,0.000117387,1.00E+00
0,1.68E-05,8.38E-05,0.000100617,0.000603703,0.000100617,0.001073249,0.000134156,1.68E-05,6.71E-05,0,3.35E-05,0.000167695,1.68E-05,0,1.68E-05,0.000150926,6.71E-05,3.35E-05,3.35E-05,5.03E-05,8.38E-05,0,0,0.000251543,0,8.38E-05,0,5.03E-05,0.000150926,0,1.68E-05,0,0.000184465,0.000184465,0.000201234,1.00E+00
0,1.68E-05,6.71E-05,6.71E-05,0.000452777,0.000134156,0.001224175,8.38E-05,1.68E-05,6.71E-05,1.68E-05,0,0.000184465,6.71E-05,1.68E-05,0,0.000167695,0.000167695,1.68E-05,8.38E-05,8.38E-05,0.000100617,0,0,0.00035216,0,6.71E-05,1.68E-05,6.71E-05,5.03E-05,0,0,5.03E-05,0.000134156,0.000268312,0.000167695,1.00E+00
1.68E-05,1.68E-05,5.03E-05,0.000117387,0.000285082,3.35E-05,0.000771398,3.35E-05,0,6.71E-05,0,0,0.000117387,0,1.68E-05,1.68E-05,0.000150926,6.71E-05,0,1.68E-05,6.71E-05,5.03E-05,0,0,0.000218004,0,1.68E-05,1.68E-05,6.71E-05,8.38E-05,0,0,3.35E-05,0.000150926,0.000100617,6.71E-05,1.00E+00
0,5.03E-05,1.68E-05,8.38E-05,0.000402468,0.000134156,0.001140327,8.38E-05,0,6.71E-05,0,3.35E-05,8.38E-05,8.38E-05,0,0,0.000134156,6.71E-05,1.68E-05,8.38E-05,5.03E-05,5.03E-05,0,0,0.000268312,0,1.68E-05,1.68E-05,6.71E-05,6.71E-05,0,0,0,0.000167695,0.000167695,0.000218004,1.00E+00
0,1.68E-05,0.000100617,6.71E-05,0.000301851,0.000150926,0.001207405,6.71E-05,0,6.71E-05,0,0,3.35E-05,1.68E-05,1.68E-05,3.35E-05,0.000218004,0.000100617,5.03E-05,0,8.38E-05,0.000100617,3.35E-05,1.68E-05,0.000251543,0,1.68E-05,1.68E-05,0.000134156,0.000100617,0,1.68E-05,0,8.38E-05,0.000117387,0.000218004,1.00E+00
0,0,6.71E-05,5.03E-05,0.000285082,6.71E-05,0.000620472,1.68E-05,0,6.71E-05,0,0,1.68E-05,0,1.68E-05,1.68E-05,0.000117387,3.35E-05,0,0,0,0,0,0,6.71E-05,0,1.68E-05,0,1.68E-05,6.71E-05,0,0,0,0.000167695,5.03E-05,8.38E-05,1.00E+00
0,0,5.03E-05,5.03E-05,0.000536625,0.000134156,0.001777569,0.000100617,0,6.71E-05,1.68E-05,3.35E-05,0.000117387,5.03E-05,0,1.68E-05,0.000167695,0.000134156,6.71E-05,5.03E-05,5.03E-05,5.03E-05,0,0,0.000368929,0,8.38E-05,3.35E-05,3.35E-05,0.000117387,0,1.68E-05,0,0.000218004,0.000117387,0.000469547,1.00E+00
0,6.71E-05,6.71E-05,8.38E-05,0.000519855,0.000184465,0.001308023,5.03E-05,0,6.71E-05,0,0,0.000184465,1.68E-05,0,3.35E-05,0.000117387,0.000100617,1.68E-05,0,3.35E-05,6.71E-05,0,0,0.000268312,0,1.68E-05,0,3.35E-05,0.000100617,0,1.68E-05,1.68E-05,0.000184465,0.000201234,0.00033539,1.00E+00
0,1.68E-05,3.35E-05,1.68E-05,0.000385699,0.000117387,0.000838476,8.38E-05,0,6.71E-05,0,0,8.38E-05,1.68E-05,0,0,0.000167695,8.38E-05,0,3.35E-05,3.35E-05,0.000134156,0,0,0.000201234,0,1.68E-05,1.68E-05,5.03E-05,3.35E-05,0,0,1.68E-05,0.000184465,8.38E-05,0.000117387,1.00E+00
0,5.03E-05,1.68E-05,1.68E-05,0.000402468,0.000134156,0.000553394,5.03E-05,1.68E-05,6.71E-05,0,0,3.35E-05,0,1.68E-05,0,0.000100617,3.35E-05,0,0,1.68E-05,3.35E-05,0,0,0.000184465,0,6.71E-05,0,0,0.000117387,0,0,0,0.000201234,6.71E-05,0.000150926,1.00E+00
1.68E-05,0,5.03E-05,6.71E-05,0.00033539,0.000100617,0.000519855,3.35E-05,0,6.71E-05,0,0,6.71E-05,1.68E-05,0,1.68E-05,6.71E-05,5.03E-05,0,1.68E-05,1.68E-05,3.35E-05,0,0,6.71E-05,0,1.68E-05,0,3.35E-05,6.71E-05,0,0,0,8.38E-05,8.38E-05,0.000150926,1.00E+00
0,5.03E-05,3.35E-05,6.71E-05,0.000603703,0.000201234,0.001576335,6.71E-05,0,6.71E-05,0,3.35E-05,5.03E-05,1.68E-05,0,3.35E-05,0.000218004,5.03E-05,0,8.38E-05,5.03E-05,0.000100617,3.35E-05,1.68E-05,0.00035216,0,0.000100617,0,0.000134156,0.000100617,0,0,1.68E-05,0.000251543,0.000117387,0.000218004,1.00E+00
0,0,3.35E-05,6.71E-05,0.000234773,0.000117387,0.000905554,0.000100617,0,6.71E-05,0,0,5.03E-05,1.68E-05,0,3.35E-05,6.71E-05,1.68E-05,1.68E-05,0,0,3.35E-05,0,0,0.000134156,0,0,0,3.35E-05,6.71E-05,0,0,0,0.000134156,0.000150926,0.000134156,1.00E+00
0,1.68E-05,8.38E-05,5.03E-05,0.000234773,3.35E-05,0.00068755,5.03E-05,0,6.71E-05,1.68E-05,0,6.71E-05,3.35E-05,0,0,3.35E-05,3.35E-05,0,5.03E-05,1.68E-05,8.38E-05,1.68E-05,0,0.000184465,0,3.35E-05,0,5.03E-05,3.35E-05,0,3.35E-05,1.68E-05,0.000150926,8.38E-05,0.000117387,1.00E+00
