Bifidobacterium,Butyricimonas,Odoribacter,Paraprevotella,Bacteroides,Parabacteroides,Prevotella,unkwon1,unkwon2,unkwon3,Clostridium,unkwon4,unkwon5,Ruminococcus,Anaerostipes,Blautia,Coprococcus,Dorea,Lachnospira,Roseburia,unkwon6,unkwon7,unkwon8,unkwon9,Faecalibacterium,Oscillospira,Ruminococcus.1,Dialister,unkwon10,unkwon11,unkwon12,Sutterella,Escherichia,Klebsiella,Haemophilus,Akkermansia,Tags
16.76951972,16.76951972,22.35935963,67.07807888,125.7713979,55.89839907,503.0855916,16.76951972,0,67.07807888,0,0,50.30855916,0,0,0,41.9237993,22.35935963,16.76951972,0,0,33.53903944,0,0,16.76951972,0,11.17967981,0,33.53903944,22.35935963,0,0,11.17967981,100.6171183,33.53903944,67.07807888,1
8.38475986,0,33.53903944,25.15427958,301.851355,201.2342367,578.5484304,55.89839907,16.76951972,33.53903944,0,0,75.46283874,22.35935963,0,8.38475986,156.5155174,33.53903944,0,22.35935963,33.53903944,50.30855916,11.17967981,0,125.7713979,0,67.07807888,0,33.53903944,100.6171183,0,11.17967981,0,100.6171183,55.89839907,218.0037564,1
0,0,41.9237993,22.35935963,285.0818353,58.69331902,413.6481531,83.8475986,0,44.71871926,0,0,55.89839907,0,16.76951972,11.17967981,100.6171183,41.9237993,11.17967981,16.76951972,8.38475986,44.71871926,16.76951972,8.38475986,100.6171183,0,8.38475986,0,16.76951972,16.76951972,0,0,8.38475986,122.976478,16.76951972,16.76951972,1
0,8.38475986,22.35935963,0,243.158036,178.874877,972.6321438,67.07807888,0,67.07807888,0,0,150.9256775,0,0,16.76951972,50.30855916,55.89839907,33.53903944,8.38475986,11.17967981,50.30855916,8.38475986,0,251.5427958,0,33.53903944,0,41.9237993,100.6171183,0,16.76951972,11.17967981,134.1561578,117.386638,100.6171183,1
0,0,16.76951972,16.76951972,122.976478,134.1561578,327.0056346,22.35935963,16.76951972,33.53903944,0,0,33.53903944,22.35935963,0,8.38475986,22.35935963,67.07807888,0,11.17967981,16.76951972,0,0,0,33.53903944,0,0,0,33.53903944,50.30855916,0,0,33.53903944,25.15427958,111.7967981,134.1561578,1
0,16.76951972,16.76951972,33.53903944,486.3160719,83.8475986,726.6791879,83.8475986,8.38475986,44.71871926,0,8.38475986,89.43743851,16.76951972,8.38475986,11.17967981,134.1561578,0,0,33.53903944,8.38475986,55.89839907,0,0,167.6951972,0,33.53903944,0,83.8475986,41.9237993,0,50.30855916,0,223.5935963,150.9256775,117.386638,1
0,8.38475986,0,83.8475986,209.6189965,44.71871926,721.089348,8.38475986,11.17967981,67.07807888,8.38475986,0,67.07807888,8.38475986,0,0,75.46283874,55.89839907,0,41.9237993,11.17967981,50.30855916,0,0,100.6171183,0,22.35935963,0,25.15427958,33.53903944,0,16.76951972,0,201.2342367,33.53903944,100.6171183,1
8.38475986,0,16.76951972,8.38475986,156.5155174,33.53903944,318.6208747,33.53903944,0,33.53903944,0,0,83.8475986,0,0,0,22.35935963,33.53903944,8.38475986,11.17967981,0,16.76951972,0,16.76951972,50.30855916,0,0,0,0,33.53903944,0,11.17967981,0,109.0018782,67.07807888,117.386638,1
0,0,25.15427958,11.17967981,234.7732761,50.30855916,346.5700742,67.07807888,0,44.71871926,0,0,33.53903944,16.76951972,0,0,67.07807888,25.15427958,0,0,0,22.35935963,0,0,134.1561578,0,16.76951972,0,33.53903944,8.38475986,0,0,0,44.71871926,83.8475986,33.53903944,1
0,8.38475986,22.35935963,67.07807888,201.2342367,78.2577587,872.0150255,25.15427958,0,67.07807888,0,11.17967981,50.30855916,16.76951972,0,16.76951972,58.69331902,89.43743851,0,8.38475986,22.35935963,33.53903944,0,0,100.6171183,0,33.53903944,0,0,67.07807888,0,0,0,167.6951972,50.30855916,190.0545568,1
0,0,50.30855916,25.15427958,167.6951972,100.6171183,310.2361148,11.17967981,0,33.53903944,0,16.76951972,41.9237993,11.17967981,0,8.38475986,55.89839907,134.1561578,16.76951972,11.17967981,0,25.15427958,0,0,67.07807888,0,0,0,33.53903944,117.386638,0,0,0,83.8475986,55.89839907,150.9256775,1
0,0,16.76951972,11.17967981,167.6951972,41.9237993,458.3668724,50.30855916,0,44.71871926,0,0,33.53903944,33.53903944,0,0,83.8475986,8.38475986,0,50.30855916,0,22.35935963,0,16.76951972,67.07807888,0,25.15427958,11.17967981,67.07807888,25.15427958,0,16.76951972,0,78.2577587,67.07807888,58.69331902,1
0,8.38475986,55.89839907,100.6171183,301.851355,67.07807888,1073.249262,67.07807888,11.17967981,67.07807888,0,22.35935963,167.6951972,8.38475986,0,16.76951972,75.46283874,44.71871926,33.53903944,16.76951972,33.53903944,83.8475986,0,0,251.5427958,0,55.89839907,0,25.15427958,100.6171183,0,8.38475986,0,184.4647169,92.23235847,134.1561578,1
