"Firmicutes";"Bacteroidetes";"Actinobacteria";"Fusobacteria";"Proteobacteria";"tags"
56;34;0;6;4;1
53;37;0;5;5;1
51;39;1;5;4;1
56;38;1;3;2;1
53;34;0;11;2;1
55;38;0;5;2;1
50;43;0;6;1;1
66;29;0;4;1;1
46;43;0;9;2;1
63;34;1;2;0;1
53;36;0;9;2;1
49;44;0;6;1;1
49;41;0;6;4;1
54;37;0;8;1;1
51;37;1;8;3;1
55;36;0;7;2;1
50;41;1;5;3;1
57;38;1;2;2;1
53;40;0;7;0;1
58;33;2;5;2;1
45;45;1;7;2;1
55;36;1;6;2;1
51;40;0;6;3;1
54;37;0;8;1;1
48;45;1;4;2;1
55;36;0;7;2;1
53;42;2;3;0;1
53;36;0;10;1;1
56;36;0;6;2;1
58;36;1;4;1;1
50;44;0;6;0;1
45;45;0;6;4;1
55;39;0;5;1;1
57;34;0;5;4;1
52;41;0;6;1;1
54;41;1;4;0;1
50;41;1;8;0;1
54;33;1;9;3;1
48;43;0;4;5;1
58;35;0;5;2;1
50;42;1;3;4;1
51;37;1;9;2;1
55;34;1;8;2;1
54;34;1;7;4;1
44;44;1;9;2;1
43;47;3;4;3;1
49;41;0;8;2;1
58;33;0;9;0;1
45;43;0;6;6;1
55;34;0;9;2;1
51;41;0;8;0;1
52;40;0;6;2;1
53;36;1;6;4;1
60;30;0;10;0;1
43;46;1;5;5;1
62;36;0;2;0;1
51;37;0;10;2;1
52;34;0;9;5;1
47;42;0;6;5;1
44;46;1;9;0;1
49;36;1;9;5;1
51;37;1;7;4;1
44;41;3;6;6;1
55;36;0;7;2;1
54;38;0;5;3;1
56;34;0;6;4;1
62;32;0;4;2;1
49;40;0;9;2;1
55;35;2;7;1;1
46;39;1;10;4;1
61;34;0;4;1;1
63;30;0;6;1;1
53;37;1;3;6;1
51;43;0;5;1;1
55;39;0;4;2;1
54;41;2;3;0;1
52;40;1;5;2;1
49;39;1;7;4;1
51;37;1;8;3;1
56;37;1;4;2;1
53;35;2;7;3;1
42;45;0;10;3;1
56;30;0;11;3;1
59;35;0;5;1;1
52;40;0;8;0;1
57;32;0;8;3;1
60;29;2;5;4;1
52;40;1;6;1;1
59;34;0;7;0;1
59;33;0;7;1;1
51;37;0;6;6;1
57;35;1;3;4;1
55;36;0;6;3;1
58;32;0;9;1;1
56;35;2;6;1;1
53;33;2;10;2;1
50;39;0;7;4;1
53;38;0;7;2;1
48;42;0;7;3;1
48;46;0;4;2;1
54;36;1;6;3;1
63;31;0;6;0;1
49;42;1;8;0;1
58;35;2;5;0;1
61;31;1;6;1;1
64;24;1;9;2;1
57;36;0;6;1;1
41;51;2;5;1;1
50;36;0;11;3;1
59;35;0;6;0;1
57;30;1;11;1;1
57;31;0;9;3;1
67;24;1;8;0;1
59;34;2;3;2;1
58;32;0;5;5;1
52;40;0;6;2;1
55;37;1;7;0;1
55;36;0;7;2;1
58;36;1;3;2;1
62;30;1;3;4;1
60;29;0;10;1;1
44;53;0;3;0;1
48;39;1;9;3;1
57;34;0;5;4;1
50;42;0;6;2;1
59;33;0;4;4;1
53;33;4;9;1;1
57;37;0;5;1;1
54;37;0;7;2;1
54;38;2;3;3;1
59;35;0;5;1;1
56;31;1;10;2;1
51;43;0;3;3;1
57;34;0;2;7;1
57;38;1;2;2;1
53;36;1;6;4;1
52;41;0;6;1;1
53;38;2;4;3;1
49;40;1;6;4;1
52;34;1;7;6;1
53;39;0;6;2;1
54;40;1;3;2;1
48;43;1;6;2;1
52;38;1;8;1;1
56;34;2;7;1;1
58;27;2;9;4;1
49;38;0;11;2;1
48;39;1;8;4;1
49;36;0;13;2;1
53;38;0;7;2;1
52;37;0;1;10;2
39;47;1;3;10;2
40;45;1;5;9;2
47;35;4;5;9;2
38;46;0;5;11;2
35;49;2;3;11;2
47;40;2;3;8;2
40;47;1;1;11;2
56;30;1;2;11;2
48;43;0;2;7;2
43;42;1;4;10;2
38;49;2;3;8;2
58;31;2;2;7;2
44;48;2;1;5;2
37;47;1;4;11;2
42;44;1;3;10;2
