V1,V2,V3,V4,V5
56.4285,33.3251,0.6363,8.3362,1.2739
56.9851,38.8798,0,3.3058,0.8293
55.4565,35.3748,0.4169,7.1036,1.6482
52.5464,36.0536,0.671,7.0397,3.6893
52.0502,39.7581,0.512,5.111,2.5687
59.8014,33.3349,0,4.9054,1.9583
54.4617,36.0424,0.9013,6.7939,1.8007
52.3794,38.934,1.3213,4.7583,2.607
52.9006,37.0475,0.3411,8.0336,1.6772
50.0356,38.7132,0.6253,8.1233,2.5026
48.2745,37.0693,0.4915,12.209,1.9557
56.1309,35.1055,2.0174,3.3705,3.3757
55.8566,34.7153,0,5.5115,3.9166
54.9555,34.1531,0.7032,8.4344,1.7538
50.8095,37.7187,0,7.3739,4.0979
41.9117,50.4805,0,5.7055,1.9023
50.5156,37.9473,1.0467,6.9997,3.4907
60.8164,31.6777,0.8332,4.9974,1.6753
50.0004,41.9972,0,4.6714,3.331
58.5797,35.117,0.8979,4.5028,0.9026
52.0753,38.2061,0.351,7.9804,1.3872
51.9006,41.125,1.0621,5.5632,0.3491
46.3113,43.6856,1.034,6.5656,2.4035
52.0601,41.9914,0,4.9117,1.0368
54.9953,33.3422,0.8337,9.9979,0.8309
58.9655,35.0668,0,4.2706,1.6971
49.5177,38.3375,1.8698,7.4728,2.8022
48.2302,43.7224,0,4.5812,3.4662
50.8511,42.2186,0.8125,4.9012,1.2166
56.1404,37.332,0,5.6986,0.829
60.1648,34.7471,0.8444,2.5425,1.7012
50.9105,40.8504,0,7.5223,0.7168
53.0299,37.0411,0,7.823,2.106
49.6832,39.6828,0,8.5205,2.1135
56.8427,34.2837,0.3524,5.328,3.1932
52.8489,40.9037,0.4847,4.7944,0.9683
55.1418,36.4362,1.8701,3.7437,2.8082
57.3767,31.5215,1.471,8.5074,1.1234
54.8632,31.9492,0,10.4179,2.7697
56.7534,34.1643,1.1403,6.0432,1.8988
58.3491,33.5429,0,7.5687,0.5393
52.2659,39.7707,0,4.9277,3.0357
54.9842,35.058,0.4223,7.0593,2.4762
54.9421,37.1362,0.5003,5.4651,1.9563
53.1154,36.7345,1.2787,5.7064,3.165
58.0817,32.4129,1.3737,5.4189,2.7128
50.905,39.1024,1.8159,5.448,2.7287
55.7768,38.4324,0.4392,4.4594,0.8922
53.7889,36.3019,1.4074,6.1449,2.3569
61.0382,28.3704,0.4202,8.069,2.1022
54.008,38.8279,1.3713,4.0929,1.6999
53.8454,40.3808,0,4.8133,0.9605
56.4983,31.5913,1.0438,7.7201,3.1465
49.0748,40.4619,0.4559,6.6687,3.3387
