Firmicutes,Bacteroidetes,Actinobacteria,Fusobacteria,Proteobacteria,tags
2.788983306,2.303503737,0.015930278,3.207154881,2.689199434,1
2.617335303,2.401601763,0.015930278,2.782898977,2.965681367,1
3.17686768,2.661276076,3.597318478,3.010566268,2.689199434,1
3.543489409,3.309632062,3.597318478,3.674085263,3.197602997,1
3.145611893,2.858412922,0.015930278,4.309138717,2.689199434,1
3.192245255,3.052102727,0.015930278,3.801277257,2.346862064,1
4.010577916,3.827720211,5.100542355,4.220872976,2.346862064,1
3.097420669,2.55158974,0.015930278,2.512447201,1.897154086,1
3.805886174,3.742928986,4.536452756,4.309138717,2.965681367,1
4.070054745,3.692141161,4.536452756,4.026276139,2.965681367,1
2.942363321,3.052102727,0.015930278,4.220872976,2.346862064,1
3.939459332,3.652841446,3.597318478,3.918158538,3.572781561,1
3.237418328,2.947721257,0.015930278,3.918158538,2.965681367,1
3.281219799,3.111288804,0.015930278,4.126853079,2.689199434,1
3.29552967,3.258185686,3.597318478,3.674085263,3.572781561,1
2.8867391,2.579802991,0.015930278,3.207154881,1.897154086,1
2.960438139,3.011251858,3.597318478,3.207154881,2.689199434,1
2.905519811,2.713142655,3.597318478,1.745424791,1.897154086,1
3.519306691,3.130489948,5.100542355,4.026276139,3.397353901,1
3.966541295,3.542486721,4.536452756,4.220872976,2.346862064,1
3.222517246,3.391497915,3.597318478,3.918158538,3.197602997,1
3.266766568,2.947721257,5.100542355,3.918158538,2.689199434,1
3.567273444,3.342937904,3.597318478,4.126853079,3.397353901,1
3.658672365,3.359306858,3.597318478,4.309138717,2.965681367,1
3.405169095,3.168142177,4.536452756,3.801277257,3.197602997,1
2.809071561,2.55158974,0.015930278,3.534585877,1.897154086,1
3.89316142,3.983674105,5.100542355,3.801277257,3.397353901,1
3.883720839,3.742928986,0.015930278,4.470954631,2.346862064,1
3.993124234,3.407328034,5.100542355,4.616437476,2.965681367,1
3.855022679,3.666060657,4.536452756,4.126853079,3.572781561,1
2.8867391,3.031821877,0.015930278,3.534585877,1.240246263,1
2.788983306,2.947721257,0.015930278,3.207154881,3.197602997,1
3.930317848,3.929890953,0.015930278,4.545529107,2.689199434,1
3.775580373,3.570876807,0.015930278,4.220872976,3.397353901,1
2.684119085,2.634626353,0.015930278,3.010566268,1.240246263,1
3.75501695,3.498825773,4.536452756,4.309138717,1.897154086,1
3.590671731,3.639499987,4.536452756,4.126853079,2.689199434,1
3.531448719,3.359306858,3.597318478,4.126853079,3.572781561,1
3.613696582,3.652841446,4.536452756,4.026276139,3.397353901,1
2.960438139,2.763209099,0.015930278,2.782898977,2.689199434,1
3.519306691,3.240620972,3.597318478,3.207154881,2.965681367,1
3.365024367,3.149438892,3.597318478,3.918158538,2.346862064,1
3.013342356,2.634626353,4.536452756,3.534585877,2.346862064,1
3.047563888,2.579802991,3.597318478,3.38013964,2.965681367,1
3.543489409,3.570876807,4.536452756,4.309138717,2.965681367,1
3.902540627,3.885372505,5.100542355,4.98131215,3.397353901,1
4.102972058,3.598718984,4.536452756,5.084961373,2.689199434,1
3.625072658,3.309632062,3.597318478,4.470954631,2.689199434,1
3.680645163,3.584865059,3.597318478,4.026276139,4.225818693,1
3.75501695,3.438476519,3.597318478,4.545529107,3.197602997,1
3.81584827,3.679159843,3.597318478,4.810379341,1.897154086,1
3.378530444,3.391497915,0.015930278,3.801277257,1.897154086,1
3.309698996,3.111288804,3.597318478,4.220872976,2.689199434,1
2.828883941,2.161380885,0.015930278,3.674085263,0.001964174,1
3.864652301,3.940809181,3.597318478,4.545529107,3.572781561,1
4.135155037,3.839436453,4.536452756,3.207154881,1.897154086,1
3.993124234,3.839436453,0.015930278,4.810379341,3.397353901,1
2.684119085,2.493452049,0.015930278,3.674085263,3.197602997,1
3.097420669,2.990384302,0.015930278,3.918158538,3.397353901,1
3.975456809,3.839436453,4.536452756,4.748584246,2.965681367,1
3.192245255,2.947721257,3.597318478,4.309138717,3.397353901,1
3.365024367,3.292686297,3.597318478,4.026276139,3.572781561,1
3.883720839,3.612441136,5.505029055,4.616437476,4.820065115,1
2.978289306,2.763209099,3.597318478,3.38013964,2.346862064,1
2.828883941,2.607475072,0.015930278,3.207154881,2.965681367,1
2.788983306,2.463480366,0.015930278,3.38013964,2.689199434,1
3.030554589,2.369637874,0.015930278,3.010566268,2.346862064,1
2.571031002,2.607475072,0.015930278,3.674085263,1.897154086,1
2.662199536,2.336949726,4.536452756,3.207154881,1.240246263,1
3.555430438,3.570876807,4.536452756,4.39231419,3.572781561,1
3.613696582,3.052102727,0.015930278,3.534585877,2.689199434,1
3.29552967,2.787605491,3.597318478,3.38013964,1.897154086,1
3.734156183,3.71775855,5.505029055,4.126853079,3.72917172,1
2.571031002,2.607475072,0.015930278,2.782898977,1.240246263,1
4.001877469,3.705006715,0.015930278,3.534585877,3.72917172,1
3.613696582,3.37549217,5.820589433,3.207154881,1.240246263,1
3.579020023,3.292686297,3.597318478,3.918158538,3.397353901,1
3.351390655,3.240620972,5.100542355,3.801277257,2.965681367,1
3.734156183,3.652841446,4.536452756,4.616437476,3.572781561,1
4.086607282,3.803998357,3.597318478,4.39231419,2.689199434,1
3.795854809,3.692141161,4.536452756,4.309138717,3.870254764,1
3.192245255,3.342937904,3.597318478,4.126853079,2.689199434,1
3.874218074,3.498825773,3.597318478,4.470954631,3.998761811,1
3.984317566,3.827720211,5.100542355,4.39231419,3.72917172,1
3.647559183,3.666060657,0.015930278,4.545529107,3.397353901,1
3.29552967,2.990384302,0.015930278,4.026276139,3.197602997,1
3.975456809,3.528079389,4.536452756,4.026276139,2.965681367,1
3.775580373,3.705006715,4.536452756,4.126853079,3.197602997,1
3.765335298,3.513526727,3.597318478,3.801277257,2.346862064,1
3.948543256,3.326381093,3.597318478,4.126853079,2.965681367,1
3.047563888,2.83519445,0.015930278,3.38013964,3.197602997,1
3.444226923,3.309632062,4.536452756,4.126853079,3.870254764,1
2.995922289,2.811596184,0.015930278,3.207154881,2.689199434,1
2.995922289,2.763209099,0.015930278,3.534585877,1.240246263,1
4.001877469,3.422986338,4.536452756,3.674085263,1.897154086,1
3.047563888,2.55158974,5.100542355,3.918158538,1.897154086,1
3.064374983,2.947721257,3.597318478,3.918158538,2.689199434,1
3.712989348,3.27553912,0.015930278,3.674085263,3.397353901,1
3.543489409,3.542486721,0.015930278,4.470954631,3.72917172,1
3.785753206,3.71775855,3.597318478,4.126853079,2.965681367,1
3.252167074,3.031821877,4.536452756,3.207154881,2.346862064,1
3.579020023,3.309632062,0.015930278,3.674085263,0.001964174,1
3.744624271,3.584865059,4.536452756,4.220872976,1.897154086,1
2.978289306,2.787605491,4.536452756,3.010566268,0.001964174,1
3.252167074,2.607475072,3.597318478,3.38013964,2.346862064,1
3.864652301,3.326381093,5.100542355,4.220872976,3.72917172,1
2.788983306,2.522813729,0.015930278,3.010566268,1.240246263,1
3.691507328,3.839436453,4.536452756,4.309138717,2.689199434,1
