V1,V2,V3,V4,V5
0,0.6,0.29,0.05,0.03
0,0.52,0.38,0.05,0.01
0,0.53,0.38,0.04,0.03
0.02,0.53,0.34,0.05,0.03
0.01,0.52,0.37,0.06,0.01
0.01,0.51,0.4,0.02,0.03
0.01,0.51,0.39,0.05,0.01
0,0.57,0.34,0.04,0.03
0,0.61,0.3,0.05,0.02
0,0.51,0.4,0.04,0.02
0.01,0.57,0.36,0.01,0.01
0.01,0.46,0.46,0.03,0.02
0,0.49,0.41,0.04,0.04
0,0.53,0.39,0.03,0.01
0,0.6,0.28,0.07,0.01
0.01,0.51,0.38,0.06,0
0,0.62,0.3,0.05,0.01
0,0.61,0.33,0.03,0
0,0.51,0.41,0.04,0.02
0.01,0.5,0.33,0.11,0.02
0,0.45,0.46,0.03,0.02
0,0.47,0.45,0.04,0
0,0.52,0.37,0.05,0.03
0,0.51,0.43,0.03,0.01
0,0.6,0.31,0.03,0.01
0,0.53,0.36,0.07,0.02
0.01,0.65,0.24,0.05,0.01
0,0.55,0.4,0.02,0.01
0,0.5,0.39,0.04,0.04
0.01,0.56,0.35,0.03,0.02
0,0.44,0.45,0.06,0.01
0,0.56,0.35,0.06,0
0,0.48,0.42,0.05,0.02
0,0.54,0.39,0.03,0.01
0.01,0.49,0.41,0.06,0.01
0,0.57,0.36,0.04,0
0.01,0.56,0.34,0.05,0
0,0.53,0.38,0.05,0.01
0,0.54,0.33,0.06,0.03
0.01,0.51,0.41,0.03,0.02
0,0.53,0.34,0.06,0.03
0.01,0.58,0.29,0.08,0.01
0,0.56,0.37,0.03,0.01
0,0.54,0.35,0.04,0.01
0.01,0.49,0.4,0.05,0.01
0.01,0.51,0.39,0.02,0.02
0,0.51,0.4,0.06,0
0,0.58,0.35,0.01,0.04
0.01,0.44,0.43,0.06,0.02
0.01,0.56,0.35,0.02,0.03
0,0.55,0.38,0.04,0.01
0.02,0.56,0.32,0.05,0.02
0,0.51,0.41,0.06,0
0,0.55,0.36,0.05,0.01
0,0.54,0.38,0.04,0.01
0.01,0.56,0.36,0.04,0
0,0.54,0.35,0.05,0.01
0,0.44,0.43,0.08,0.02
0,0.53,0.38,0.05,0.02
0.01,0.48,0.44,0.04,0.01
0.01,0.55,0.33,0.05,0.02
0,0.53,0.38,0.06,0
0,0.58,0.34,0.02,0.02
0.01,0.49,0.42,0.03,0.02
0,0.57,0.35,0.05,0.01
0.01,0.51,0.36,0.03,0.04
0.01,0.51,0.35,0.07,0.01
0,0.55,0.35,0.05,0.02
0,0.51,0.39,0.06,0
0,0.53,0.37,0.05,0.02
0,0.53,0.39,0.02,0.03
0,0.45,0.45,0.05,0.01
